Run	LT	ID	NT	PS	Hardness
1	0	0	0	0	46.39	
2	-1	0	0	-1	52.87	
3	0	0	0	0	46.39	
4	1	0	1	0	46.38	
5	1	0	-1	0	42.41	
6	-1	-1	0	0	45.13	
7	0	-1	0	1	39.75	
8	0	1	0	-1	54.08	
9	0	1	1	0	54.76	
10	-1	0	1	0	53.15					
11	1	0	0	1	42.92						
12	0	0	-1	-1	45.62					
13	1	-1	0	0	39.25				
14	1	0	0	-1	46.12										
15	1	1	0	0	49.37										
16	-1	0	-1	0	48.15										
17	0	1	-1	0	49.37										
18	0	1	0	1	49.92										
19	0	0	0	0	46.39										
20	0	-1	0	-1	42.17										
21	0	-1	1	0	43.47										
22	0	0	-1	1	42.15										
23	-1	0	0	1	48.72										
24	0	0	1	-1	50.75										
25	0	0	1	1	46.92										
26	0	-1	-1	0	39.27										
27	-1	1	0	0	56.21										
