Run  pH  	Biosorbent	Time (min)   % Removal RSM		ANN
	 	dose (g L-1)				  Residual	Residual

1    3.50 	20.00 	 	67.50 		93.58 		 2.08  	3.76
2         3.50 	30.00 	 	90.00 		94.14 		 1.13  	2.27
3         3.50 	36.81 	 	105.34 		92.52 		 -1.63 	3.74
4         4.50 	30.00 	 	90.00 		90.14 		 1.71 	-3.56
5        4.50 	10.00 	 	45.00 		90.16		  -1.57  	-4.79
6         5.50 	20.00 	 	67.50 		88.12 		-1.24 	1.46
7        5.50 	3.18  	 	29.65 		96.12 		 -1.48  	2.48
8    5.50 	36.81 	 	105.34 		82.87 		1.17 	2.37 
