Run Dye DyeFe H2O2Fe  pH COD Decol CODp Decolp
1 1	1	1	1	74.8603	98.9496	36.53	39.90
2 1	2	2	2	53.0726	97.9920	34.50	39.82
3 1	3	3	3	36.3128	89.5582	32.67	39.04
4 2	1	2	3	32.6996	83.6843	30.97	38.45
5 2	2	3	1	80.9886	99.1548	37.92	39.92
6 2	3	1	2	42.9658	93.8547	28.50	39.45
7 3	1	3	2	69.0217	99.7837	36.78	39.98
8 3	2	1	3	34.7826	94.8740	30.62	39.54
9 3	3	2	1	57.8804	99.8905	35.25	39.99
